-BEGIN HEADER-,,,,,,,,,,,
22.75,83.25,2021,1,26,8.77,10.07,24.97,60.14,0,95.18,6.93
22.75,83.75,2021,1,26,9.52,9.79,23.77,65.09,0,94.71,6.89
22.75,84.25,2021,1,26,10.01,10.33,24.33,66.47,0,95.26,6.97
22.75,84.75,2021,1,26,10.45,10.94,25.25,67.15,0,95.76,6.29
22.75,85.25,2021,1,26,10.89,11.61,25.95,67.69,0,96.52,5.65
22.75,85.75,2021,1,26,11.32,12.16,26.05,68.61,0,97.57,5.51
22.75,86.25,2021,1,26,11.71,12.27,25.37,70.41,0,98.69,5.92
22.75,86.75,2021,1,26,12.01,12.15,24.36,72.03,0,99.89,5.32
22.75,87.25,2021,1,26,12.18,11.98,24.13,72.66,0,100.73,5.36
22.75,87.75,2021,1,26,12.02,12.11,24.67,70.88,0,101.2,5.57
22.75,88.25,2021,1,26,11.6,12.45,25.6,67.63,0,101.38,5.66
23.25,82.25,2021,1,26,5.48,9.19,26.28,52.22,0,95.05,6.9
23.25,82.75,2021,1,26,6.36,9.4,25.9,54.84,0,95.04,6.76
23.25,83.25,2021,1,26,7.39,9.25,24.69,59.82,0,94.58,6.25
23.25,83.75,2021,1,26,8.43,8.82,22.85,67.34,0,93.69,5.46
23.25,84.25,2021,1,26,8.18,9.32,23.37,65.09,0,93.92,5.69
23.25,84.75,2021,1,26,8.37,10.06,24.08,64.18,0,94.49,5.62
23.25,85.25,2021,1,26,8.99,10.98,24.7,64.39,0,95.66,5.49
23.25,85.75,2021,1,26,9.85,11.71,24.94,65.74,0,97.26,5.43
23.25,86.25,2021,1,26,10.58,11.64,24.51,68.44,0,98.66,5.45
23.25,86.75,2021,1,26,10.89,11.51,24.02,69.19,0,99.68,5.47
23.25,87.25,2021,1,26,11.08,11.63,24.12,69.06,0,100.51,5.57
23.25,87.75,2021,1,26,10.98,11.99,24.69,67.39,0,101.05,5.47
23.25,88.25,2021,1,26,10.71,12.39,25.39,65.34,0,101.31,5.22
23.75,82.25,2021,1,26,4.92,9.39,25.64,51.61,0,95.7,6.64
23.75,82.75,2021,1,26,5.94,9.9,25.23,54.54,0,95.88,6.2
23.75,83.25,2021,1,26,7.08,10.11,24.48,58.38,0,96.14,5.61
23.75,83.75,2021,1,26,7.91,9.69,23.28,63.91,0,95.61,4.66
23.75,84.25,2021,1,26,7.35,10.43,23.97,59.76,0,95.67,5.01
23.75,84.75,2021,1,26,7.37,10.99,23.95,59.38,0,95.59,5.27
23.75,85.25,2021,1,26,7.94,11.49,23.7,61.12,0,96.04,5.29
23.75,85.75,2021,1,26,8.79,11.81,23.54,63.56,0,97.13,5.17
23.75,86.25,2021,1,26,9.42,11.56,23.65,65.41,0,98.41,5.21
23.75,86.75,2021,1,26,9.7,11.6,23.91,65.26,0,99.42,5.72
23.75,87.25,2021,1,26,9.77,11.81,24.4,64.17,0,100.24,5.89
23.75,87.75,2021,1,26,9.82,12.18,24.89,63.04,0,100.87,5.5
23.75,88.25,2021,1,26,10,12.62,25.14,62.91,0,101.27,4.8
24.25,82.25,2021,1,26,4.75,10.23,25.09,49.91,0,97.29,6.12
24.25,82.75,2021,1,26,5.72,10.88,24.67,52.14,0,97.56,5.75
24.25,83.25,2021,1,26,6.72,11.17,24.17,54.96,0,97.85,5.24
24.25,83.75,2021,1,26,7.27,10.63,23.92,57.16,0,97.97,4.58
24.25,84.25,2021,1,26,6.91,11.16,24.69,54.03,0,98.18,4.57
24.25,84.75,2021,1,26,7.03,11.46,24.18,54.75,0,97.81,4.51
24.25,85.25,2021,1,26,7.51,11.59,23.27,57.54,0,97.57,4.34
24.25,85.75,2021,1,26,8.07,11.54,22.72,60.46,0,97.79,4.25
24.25,86.25,2021,1,26,8.28,11.26,23.16,61.41,0,98.42,4.72
24.25,86.75,2021,1,26,8.43,11.23,23.91,61.03,0,99.23,5.37
24.25,87.25,2021,1,26,8.32,11.34,24.54,59.36,0,99.91,5.53
24.25,87.75,2021,1,26,8.68,11.66,24.73,59.42,0,100.63,5.15
24.25,88.25,2021,1,26,9.5,12.14,24.46,61.67,0,101.24,4.47
24.75,82.25,2021,1,26,4.21,10.37,24.93,48.21,0,98.77,6.01
24.75,82.75,2021,1,26,5.15,10.48,24.62,50.81,0,98.87,5.81
24.75,83.25,2021,1,26,5.88,10.61,24.38,52.44,0,98.95,5.46
24.75,83.75,2021,1,26,5.99,10.23,24.42,51.72,0,99.11,5.1
24.75,84.25,2021,1,26,6.23,10.31,24.78,51.47,0,99.56,4.68
24.75,84.75,2021,1,26,6.65,10.4,24.34,52.85,0,99.59,4.4
24.75,85.25,2021,1,26,7.09,10.44,23.64,55.04,0,99.43,4.21
24.75,85.75,2021,1,26,7.38,10.41,23.21,56.96,0,99.29,4.23
24.75,86.25,2021,1,26,7.3,10.36,23.55,57.31,0,99.3,4.71
24.75,86.75,2021,1,26,7.44,10.22,24.06,57.84,0,99.77,5.14
24.75,87.25,2021,1,26,7.44,10.23,24.27,57.41,0,100.07,5.38
24.75,87.75,2021,1,26,8.02,10.49,24.11,58.68,0,100.6,5.22
24.75,88.25,2021,1,26,9.03,10.95,23.72,61.52,0,101.21,4.73
25.25,82.25,2021,1,26,2.82,9.84,25.16,44.33,0,100.06,6.46
25.25,82.75,2021,1,26,3.64,9.72,25.09,46.73,0,100.09,6.53
25.25,83.25,2021,1,26,4.42,9.6,24.95,48.78,0,100.06,6.46
25.25,83.75,2021,1,26,4.92,9.47,24.87,49.38,0,100.17,6.34
25.25,84.25,2021,1,26,5.54,9.35,24.76,51.12,0,100.46,6.02
25.25,84.75,2021,1,26,6.15,9.24,24.46,53.25,0,100.62,5.7
25.25,85.25,2021,1,26,6.6,9.2,24.16,55.02,0,100.66,5.48
25.25,85.75,2021,1,26,6.8,9.26,24.05,55.99,0,100.6,5.47
25.25,86.25,2021,1,26,6.74,9.39,24.22,55.97,0,100.47,5.76
25.25,86.75,2021,1,26,7.1,9.19,24.13,58.22,0,100.66,6
25.25,87.25,2021,1,26,7.35,9.18,23.89,59.44,0,100.68,6.16
25.25,87.75,2021,1,26,7.84,9.33,23.6,60.96,0,100.85,6.15
25.25,88.25,2021,1,26,8.49,9.65,23.4,62.62,0,101.16,5.85
25.75,82.25,2021,1,26,1.76,9.06,24.69,42.32,0,100.54,7.01
25.75,82.75,2021,1,26,2.41,9.08,24.88,43.89,0,100.62,7.23
25.75,83.25,2021,1,26,3.36,9.05,24.9,46.46,0,100.69,7.3
25.75,83.75,2021,1,26,4.38,9,24.72,49.53,0,100.75,7.22
25.75,84.25,2021,1,26,5.07,8.87,24.6,51.86,0,100.78,7.02
25.75,84.75,2021,1,26,5.67,8.73,24.49,54.05,0,100.84,6.84
25.75,85.25,2021,1,26,6.04,8.67,24.47,55.41,0,100.89,6.75
25.75,85.75,2021,1,26,6.23,8.71,24.51,56.07,0,100.93,6.81
25.75,86.25,2021,1,26,6.44,8.84,24.46,56.97,0,100.9,7.11
25.75,86.75,2021,1,26,6.96,8.59,24.09,60.07,0,100.95,7.19
25.75,87.25,2021,1,26,7.24,8.73,23.8,61.2,0,100.95,6.94
25.75,87.75,2021,1,26,7.49,9,23.64,61.76,0,100.96,6.78
25.75,88.25,2021,1,26,7.8,9.25,23.58,62.39,0,101.01,6.65
26.25,82.25,2021,1,26,0.88,8.87,24.24,40.76,0,100.49,7.53
26.25,82.75,2021,1,26,1.67,8.94,24.36,42.67,0,100.58,7.76
26.25,83.25,2021,1,26,2.88,8.9,24.38,45.96,0,100.65,7.94
26.25,83.75,2021,1,26,3.82,8.92,24.43,48.56,0,100.7,7.9
26.25,84.25,2021,1,26,4.62,8.74,24.46,51.39,0,100.75,7.71
26.25,84.75,2021,1,26,5.24,8.59,24.45,53.71,0,100.78,7.55
26.25,85.25,2021,1,26,5.56,8.66,24.51,54.72,0,100.79,7.53
26.25,85.75,2021,1,26,5.66,8.98,24.55,54.68,0,100.7,7.6
26.25,86.25,2021,1,26,5.76,9.48,24.36,54.88,0,100.43,7.61
26.25,86.75,2021,1,26,6.28,9.2,23.75,57.75,0,100.05,7.11
26.25,87.25,2021,1,26,6.3,9.72,23.52,57.34,0,99.67,6.56
26.25,87.75,2021,1,26,6.31,10.34,23.52,56.48,0,99.53,6.36
26.25,88.25,2021,1,26,6.65,10.55,23.63,56.96,0,99.76,6.37
22.75,82.25,2021,1,27,5.43,9.72,26.37,49.29,0,96.01,7.17
22.75,82.75,2021,1,27,6.61,9.91,25.76,53.05,0,96.03,7.44
22.75,83.25,2021,1,27,7.42,9.58,24.68,57,0,95.25,7.46
22.75,83.75,2021,1,27,7.99,9.17,23.48,60.88,0,94.77,7.42
22.75,84.25,2021,1,27,8.02,9.51,24.14,60.3,0,95.33,7.22
22.75,84.75,2021,1,27,7.8,9.76,25.33,58.94,0,95.82,6.23
22.75,85.25,2021,1,27,7.87,9.98,26.22,59.14,0,96.58,5.22
22.75,85.75,2021,1,27,8.45,10.18,26.29,61.71,0,97.63,4.81
22.75,86.25,2021,1,27,9.39,10.34,25.37,65.91,0,98.76,5.52
22.75,86.75,2021,1,27,10.01,10.4,24.2,68.63,0,99.96,5.3
22.75,87.25,2021,1,27,10.07,10.35,23.73,68.82,0,100.8,5.64
22.75,87.75,2021,1,27,9.64,10.48,24.17,66.09,0,101.28,5.87
22.75,88.25,2021,1,27,9.01,10.75,25.15,62.27,0,101.45,5.81
23.25,82.25,2021,1,27,2.79,8.21,26.2,45.76,0,95.12,7.02
23.25,82.75,2021,1,27,3.91,8.51,25.76,49.41,0,95.11,6.77
23.25,83.25,2021,1,27,5.24,8.34,24.54,55.07,0,94.65,6.16
23.25,83.75,2021,1,27,6.47,7.9,22.48,62.09,0,93.76,5.48
23.25,84.25,2021,1,27,6.2,8.16,23.07,59.89,0,93.98,5.46
23.25,84.75,2021,1,27,6.07,8.43,24.01,58.46,0,94.54,5.34
23.25,85.25,2021,1,27,6.48,8.85,24.82,58.89,0,95.72,5.2
23.25,85.75,2021,1,27,7.43,9.36,25.07,61.35,0,97.32,5.2
23.25,86.25,2021,1,27,8.48,9.72,24.38,65.12,0,98.72,5.49
23.25,86.75,2021,1,27,9.01,9.91,23.73,66.7,0,99.75,5.47
23.25,87.25,2021,1,27,8.96,10.01,23.74,65.61,0,100.58,5.87
23.25,87.75,2021,1,27,8.45,10.2,24.24,62.49,0,101.13,6.02
23.25,88.25,2021,1,27,7.88,10.41,24.89,59.58,0,101.38,5.79
23.75,82.25,2021,1,27,1.06,8.4,25.84,42.14,0,95.76,7.24
23.75,82.75,2021,1,27,2.39,8.96,25.41,45.95,0,95.95,6.62
23.75,83.25,2021,1,27,4.09,9.39,24.47,51.18,0,96.21,5.84
23.75,83.75,2021,1,27,5.44,9.04,22.63,57.41,0,95.68,4.59
23.75,84.25,2021,1,27,4.95,8.97,23.27,54.18,0,95.74,4.36
23.75,84.75,2021,1,27,5.03,8.64,23.34,54.97,0,95.66,4.51
23.75,85.25,2021,1,27,5.71,8.43,23.17,58.08,0,96.1,4.78
23.75,85.75,2021,1,27,6.69,8.55,23.04,61.59,0,97.18,5.05
23.75,86.25,2021,1,27,7.37,9.02,23.14,63.34,0,98.47,5.38
23.75,86.75,2021,1,27,7.7,9.46,23.38,63.34,0,99.48,5.6
23.75,87.25,2021,1,27,7.49,9.78,23.9,61.13,0,100.3,5.87
23.75,87.75,2021,1,27,7.15,10.04,24.39,58.66,0,100.94,5.81
23.75,88.25,2021,1,27,7.05,10.18,24.57,57.84,0,101.34,5.48
24.25,82.25,2021,1,27,0.02,9.14,25.29,38.61,0,97.36,7.04
24.25,82.75,2021,1,27,1.36,9.54,24.78,42.08,0,97.63,6.5
24.25,83.25,2021,1,27,2.89,9.72,24.02,46.42,0,97.92,5.78
24.25,83.75,2021,1,27,3.96,9.33,23.2,50,0,98.04,4.73
24.25,84.25,2021,1,27,3.81,9.17,23.87,48.15,0,98.26,4.42
24.25,84.75,2021,1,27,4.13,8.65,23.4,50.05,0,97.88,4.51
24.25,85.25,2021,1,27,4.81,8.12,22.49,54.05,0,97.64,4.73
24.25,85.75,2021,1,27,5.55,7.9,21.89,57.94,0,97.85,5.04
24.25,86.25,2021,1,27,5.82,8.29,22.39,58.94,0,98.48,5.61
24.25,86.75,2021,1,27,5.98,8.76,23.14,58.71,0,99.29,5.67
24.25,87.25,2021,1,27,5.74,9.16,23.81,56.54,0,99.97,5.72
24.25,87.75,2021,1,27,5.97,9.48,24.05,56.14,0,100.69,5.6
24.25,88.25,2021,1,27,6.72,9.59,23.8,58.36,0,101.31,5.33
24.75,82.25,2021,1,27,-1.03,8.5,24.69,36.78,0,98.85,6.42
24.75,82.75,2021,1,27,0.25,8.29,24.19,40.65,0,98.95,5.9
24.75,83.25,2021,1,27,1.18,8.15,23.8,43.19,0,99.02,5.32
24.75,83.75,2021,1,27,1.45,8.01,23.79,43.09,0,99.18,5
24.75,84.25,2021,1,27,1.96,8.01,24.17,43.72,0,99.64,4.87
24.75,84.75,2021,1,27,2.76,7.76,23.73,46.35,0,99.66,5.04
24.75,85.25,2021,1,27,3.59,7.52,22.95,49.7,0,99.5,5.32
24.75,85.75,2021,1,27,4.19,7.49,22.4,52.46,0,99.35,5.65
24.75,86.25,2021,1,27,4.3,7.88,22.7,53.31,0,99.36,6.12
24.75,86.75,2021,1,27,4.55,8.12,23.17,54.29,0,99.83,6.05
24.75,87.25,2021,1,27,4.6,8.36,23.4,54.02,0,100.14,6.08
24.75,87.75,2021,1,27,5.31,8.63,23.29,55.8,0,100.66,6.07
24.75,88.25,2021,1,27,6.49,8.76,22.97,59.55,0,101.28,5.91
25.25,82.25,2021,1,27,-2.5,7.58,24.44,33.11,0,100.14,5.93
25.25,82.75,2021,1,27,-1.81,7.38,24.23,35.25,0,100.17,5.97
25.25,83.25,2021,1,27,-1.08,7.33,24.04,37.19,0,100.14,6.06
25.25,83.75,2021,1,27,-0.48,7.42,24.01,37.84,0,100.25,6.21
25.25,84.25,2021,1,27,0.3,7.33,23.94,39.82,0,100.54,6.15
25.25,84.75,2021,1,27,1.3,7.11,23.66,42.98,0,100.7,6.12
25.25,85.25,2021,1,27,2.21,6.99,23.34,46.05,0,100.74,6.16
25.25,85.75,2021,1,27,2.85,7.11,23.18,48.3,0,100.68,6.31
25.25,86.25,2021,1,27,3.18,7.53,23.35,49.5,0,100.54,6.65
25.25,86.75,2021,1,27,3.84,7.49,23.23,52.65,0,100.74,6.68
25.25,87.25,2021,1,27,4.3,7.56,23.03,54.54,0,100.75,6.69
25.25,87.75,2021,1,27,5.04,7.73,22.82,57.04,0,100.92,6.78
25.25,88.25,2021,1,27,5.95,7.88,22.69,60.06,0,101.23,6.78
25.75,82.25,2021,1,27,-2.24,6.77,23.73,34.06,0,100.62,6.31
25.75,82.75,2021,1,27,-2.21,6.78,23.81,34.15,0,100.7,6.77
25.75,83.25,2021,1,27,-1.7,6.8,23.75,35.41,0,100.77,7.18
25.75,83.75,2021,1,27,-0.84,6.77,23.53,37.66,0,100.83,7.27
25.75,84.25,2021,1,27,-0.23,6.63,23.38,39.51,0,100.87,7.21
25.75,84.75,2021,1,27,0.49,6.53,23.3,41.69,0,100.92,7.18
25.75,85.25,2021,1,27,1.14,6.55,23.38,43.83,0,100.97,7.23
25.75,85.75,2021,1,27,1.74,6.71,23.53,45.97,0,101.01,7.36
25.75,86.25,2021,1,27,2.47,6.96,23.58,48.59,0,100.98,7.55
25.75,86.75,2021,1,27,3.5,6.86,23.22,53.24,0,101.03,7.32
25.75,87.25,2021,1,27,4.11,6.98,23.09,55.59,0,101.02,6.84
25.75,87.75,2021,1,27,4.66,7.32,23.09,57.09,0,101.03,6.71
25.75,88.25,2021,1,27,5.3,7.75,23.14,58.58,0,101.08,6.81
26.25,82.25,2021,1,27,-1.24,6.5,23.36,37.17,0,100.56,7.16
26.25,82.75,2021,1,27,-1.15,6.46,23.46,37.58,0,100.65,7.59
26.25,83.25,2021,1,27,-0.71,6.34,23.4,38.94,0,100.72,7.94
26.25,83.75,2021,1,27,-0.36,6.29,23.33,39.84,0,100.78,8.04
26.25,84.25,2021,1,27,0.16,6.16,23.24,41.62,0,100.83,7.95
26.25,84.75,2021,1,27,0.7,6.18,23.25,43.49,0,100.86,7.78
26.25,85.25,2021,1,27,1.2,6.41,23.42,45.09,0,100.86,7.72
26.25,85.75,2021,1,27,1.67,6.83,23.61,46.54,0,100.77,7.76
26.25,86.25,2021,1,27,2.28,7.31,23.54,48.47,0,100.51,7.72
26.25,86.75,2021,1,27,3.18,7.63,23.05,51.64,0,100.13,6.43
26.25,87.25,2021,1,27,3.39,8.05,23.2,52.01,0,99.75,5.79
26.25,87.75,2021,1,27,3.66,8.78,23.4,51.61,0,99.6,5.74
26.25,88.25,2021,1,27,4.37,9.49,23.46,52.24,0,99.82,5.83
22.75,82.25,2021,1,28,7.85,9.27,26.12,55.96,5.04,96.03,5.71
22.75,82.75,2021,1,28,8.37,9.57,25.47,58.44,4.74,96.07,5.47
22.75,83.25,2021,1,28,8.34,9.29,24.45,59.79,3.24,95.29,4.92
22.75,83.75,2021,1,28,8.19,8.9,23.4,60.84,2.78,94.83,4.69
22.75,84.25,2021,1,28,7.67,9.04,24.12,58.79,1.52,95.38,4.84
22.75,84.75,2021,1,28,6.97,9.2,25.32,56.91,0.63,95.88,4.79
22.75,85.25,2021,1,28,6.58,9.42,26.39,56.21,0.14,96.63,5
22.75,85.75,2021,1,28,6.7,9.58,26.79,57.19,0,97.69,5.56
22.75,86.25,2021,1,28,7.27,9.38,26.08,59.81,0,98.81,6.21
22.75,86.75,2021,1,28,7.71,8.81,24.67,62.06,0,100.02,5.55
22.75,87.25,2021,1,28,7.55,8.28,23.95,61.97,0,100.86,5.95
22.75,87.75,2021,1,28,6.78,8.11,24.38,58.78,0,101.34,6.28
22.75,88.25,2021,1,28,5.77,8.23,25.54,54.28,0,101.51,6.17
23.25,82.25,2021,1,28,5.81,7.53,26,53.28,5.22,95.14,5.82
23.25,82.75,2021,1,28,6.1,7.81,25.59,54.7,4.73,95.14,5.56
23.25,83.25,2021,1,28,6.38,7.8,24.54,57.28,3.64,94.68,4.94
23.25,83.75,2021,1,28,6.6,7.38,22.68,60.75,1.73,93.79,3.89
23.25,84.25,2021,1,28,5.64,8.21,23.33,56.2,1.01,94.02,3.92
23.25,84.75,2021,1,28,5.01,8.95,24.27,53.54,0.44,94.59,4.45
23.25,85.25,2021,1,28,5.01,9.52,25.19,52.99,0.1,95.77,5.26
23.25,85.75,2021,1,28,5.62,9.71,25.63,54.56,0,97.38,5.98
23.25,86.25,2021,1,28,6.38,9.25,24.99,58.03,0,98.78,6.02
23.25,86.75,2021,1,28,6.76,8.65,24.19,59.93,0,99.81,5.47
23.25,87.25,2021,1,28,6.45,8.17,24.13,58.62,0,100.64,5.81
23.25,87.75,2021,1,28,5.6,7.89,24.68,55.1,0,101.18,6.04
23.25,88.25,2021,1,28,4.8,7.74,25.39,51.98,0,101.44,5.87
23.75,82.25,2021,1,28,3.66,7.03,26.02,48.43,2.53,95.77,6.28
23.75,82.75,2021,1,28,4.15,7.26,25.75,49.94,2.18,95.96,5.96
23.75,83.25,2021,1,28,4.73,7.47,25.09,52.25,1.47,96.22,5.65
23.75,83.75,2021,1,28,5.18,6.94,23.53,56,0.27,95.7,4.53
23.75,84.25,2021,1,28,4.02,8.21,24.18,50.08,0.18,95.77,4.41
23.75,84.75,2021,1,28,3.6,9.11,24.18,48.48,0.08,95.69,4.89
23.75,85.25,2021,1,28,3.92,9.52,23.98,49.76,0.02,96.14,5.45
23.75,85.75,2021,1,28,4.66,9.47,23.84,52.39,0,97.24,5.71
23.75,86.25,2021,1,28,5.19,9.06,23.82,54.81,0,98.52,5.44
23.75,86.75,2021,1,28,5.41,8.53,23.87,56.06,0,99.54,5.3
23.75,87.25,2021,1,28,4.9,8.09,24.38,53.86,0,100.36,5.6
23.75,87.75,2021,1,28,4.36,7.76,24.85,51.32,0,100.99,5.68
23.75,88.25,2021,1,28,4.39,7.53,24.99,51.09,0,101.4,5.46
24.25,82.25,2021,1,28,1.46,7.22,25.96,41.35,0.3,97.36,6.73
24.25,82.75,2021,1,28,2.18,7.51,25.6,43.09,0.21,97.63,6.26
24.25,83.25,2021,1,28,2.87,7.55,25.02,45.19,0.03,97.94,5.69
24.25,83.75,2021,1,28,3.3,7.18,24.35,47.09,0,98.06,4.63
24.25,84.25,2021,1,28,2.67,7.89,24.95,44.12,0,98.28,4.54
24.25,84.75,2021,1,28,2.63,8.31,24.31,44.72,0,97.92,4.62
24.25,85.25,2021,1,28,3.01,8.52,23.26,46.81,0,97.68,4.67
24.25,85.75,2021,1,28,3.45,8.57,22.56,48.75,0,97.9,4.65
24.25,86.25,2021,1,28,3.45,8.56,22.96,49.38,0,98.54,4.7
24.25,86.75,2021,1,28,3.48,8.03,23.55,50.4,0,99.35,4.84
24.25,87.25,2021,1,28,3.01,7.63,24.2,48.61,0,100.04,5.14
24.25,87.75,2021,1,28,3.35,7.48,24.38,48.8,0,100.75,5.28
24.25,88.25,2021,1,28,4.64,7.42,24.05,52.38,0,101.37,5.24
24.75,82.25,2021,1,28,-0.6,6.85,25.64,36.16,0,98.85,6.46
24.75,82.75,2021,1,28,0.27,6.91,25.19,38.28,0,98.96,5.8
24.75,83.25,2021,1,28,0.78,6.92,24.86,39.54,0,99.04,5.11
24.75,83.75,2021,1,28,0.7,6.95,24.78,38.84,0,99.21,4.66
24.75,84.25,2021,1,28,0.93,7.11,24.93,39.54,0,99.67,4.73
24.75,84.75,2021,1,28,1.35,7.18,24.16,41.31,0,99.7,4.59
24.75,85.25,2021,1,28,1.74,7.33,23.12,42.8,0,99.55,4.36
24.75,85.75,2021,1,28,1.89,7.54,22.48,43.38,0,99.41,4.21
24.75,86.25,2021,1,28,1.58,7.65,22.82,43.12,0,99.43,4.33
24.75,86.75,2021,1,28,1.77,7.29,23.16,44.8,0,99.91,4.55
24.75,87.25,2021,1,28,1.86,7.09,23.53,45.31,0,100.21,4.96
24.75,87.75,2021,1,28,3.03,7.12,23.55,48.55,0,100.73,5.28
24.75,88.25,2021,1,28,4.96,7.18,23.31,54.31,0,101.34,5.44
25.25,82.25,2021,1,28,-2.56,6.81,25.45,30.94,0,100.15,5.9
25.25,82.75,2021,1,28,-2.07,6.82,25.24,32.33,0,100.18,5.28
25.25,83.25,2021,1,28,-1.54,6.74,25.07,33.74,0,100.16,4.8
25.25,83.75,2021,1,28,-1.09,6.71,24.94,34.44,0,100.28,4.79
25.25,84.25,2021,1,28,-0.56,6.47,24.55,36.29,0,100.58,4.81
25.25,84.75,2021,1,28,-0.05,6.31,23.78,38.04,0,100.75,4.76
25.25,85.25,2021,1,28,0.34,6.31,23.07,39.31,0,100.8,4.67
25.25,85.75,2021,1,28,0.55,6.44,22.74,40.04,0,100.75,4.58
25.25,86.25,2021,1,28,0.56,6.61,22.92,40.56,0,100.62,4.62
25.25,86.75,2021,1,28,1.32,6.46,22.7,44.04,0,100.82,5.07
25.25,87.25,2021,1,28,2.02,6.51,22.84,46.69,0,100.83,5.44
25.25,87.75,2021,1,28,3.29,6.61,23.01,50.88,0,101,5.67
25.25,88.25,2021,1,28,4.82,6.68,23.22,55.76,0,101.3,5.81
25.75,82.25,2021,1,28,-2.82,6.94,24.51,30.29,0,100.63,4.79
25.75,82.75,2021,1,28,-2.87,6.94,24.49,30.48,0,100.72,4.66
25.75,83.25,2021,1,28,-2.47,6.77,24.35,31.86,0,100.8,4.65
25.75,83.75,2021,1,28,-1.73,6.49,23.95,33.94,0,100.87,4.8
25.75,84.25,2021,1,28,-1.23,6.22,23.51,35.66,0,100.92,4.91
25.75,84.75,2021,1,28,-0.7,6.04,23.1,37.42,0,100.98,5.05
25.75,85.25,2021,1,28,-0.25,5.94,22.92,39.04,0,101.05,5.21
25.75,85.75,2021,1,28,0.18,5.96,22.96,40.7,0,101.09,5.38
25.75,86.25,2021,1,28,0.79,6.15,22.98,43,0,101.07,5.57
25.75,86.75,2021,1,28,1.89,5.95,22.64,47.62,0,101.13,5.84
25.75,87.25,2021,1,28,2.64,6.16,22.82,49.98,0,101.11,5.82
25.75,87.75,2021,1,28,3.43,6.54,23.22,52.12,0,101.13,5.86
25.75,88.25,2021,1,28,4.28,6.99,23.72,54.18,0,101.16,6.11
26.25,82.25,2021,1,28,-2.25,6.97,23.52,32.69,0,100.59,4.57
26.25,82.75,2021,1,28,-2.21,6.61,23.5,33.28,0,100.69,5.06
26.25,83.25,2021,1,28,-1.77,6.35,23.33,34.88,0,100.77,5.49
26.25,83.75,2021,1,28,-1.43,6.25,23.14,35.91,0,100.84,5.71
26.25,84.25,2021,1,28,-0.76,6.32,22.9,38.01,0,100.9,5.66
26.25,84.75,2021,1,28,0.01,6.38,22.78,40.58,0,100.94,5.58
26.25,85.25,2021,1,28,0.65,6.52,22.89,42.8,0,100.95,5.66
26.25,85.75,2021,1,28,1.12,6.8,23.09,44.36,0,100.87,5.81
26.25,86.25,2021,1,28,1.57,7.31,23.02,45.41,0,100.61,5.68
26.25,86.75,2021,1,28,2.37,6.72,22.75,48.88,0,100.24,5.12
26.25,87.25,2021,1,28,2.44,7.22,23.08,48.32,0,99.85,5
26.25,87.75,2021,1,28,2.62,8.2,23.52,47.39,0,99.7,5.31
26.25,88.25,2021,1,28,3.23,9.14,23.91,47.61,0,99.92,5.68
22.75,82.25,2021,1,29,9.13,10.8,24.63,62.34,2.2,96.03,7.86
22.75,82.75,2021,1,29,10.25,11.22,23.69,65.98,2.2,96.05,7.59
22.75,83.25,2021,1,29,10.77,11.19,22.31,69.28,2.67,95.27,6.94
22.75,83.75,2021,1,29,10.8,10.63,21.54,71.91,1.74,94.79,6.24
22.75,84.25,2021,1,29,10.28,10.99,22.55,69.13,1.74,95.34,6.17
22.75,84.75,2021,1,29,9.65,10.7,24.03,65.57,1.72,95.84,6.11
22.75,85.25,2021,1,29,9.1,10.74,25.45,61.24,1.64,96.58,6.06
22.75,85.75,2021,1,29,8.76,11.07,26.35,57.66,1.42,97.62,5.47
22.75,86.25,2021,1,29,8.65,10.59,26.37,57.78,0.97,98.73,3.29
22.75,86.75,2021,1,29,8.55,9.24,25.52,60.58,0.41,99.94,4.54
22.75,87.25,2021,1,29,8.01,8.54,24.83,58.64,0.24,100.79,4.54
22.75,87.75,2021,1,29,7.4,8.71,25.07,54.96,0.13,101.26,4.27
22.75,88.25,2021,1,29,6.96,9.25,26.07,52.16,0.01,101.44,4.35
23.25,82.25,2021,1,29,6.18,9.03,24.12,56.66,0.98,95.15,7.57
23.25,82.75,2021,1,29,7.39,9.58,23.7,59.19,1.27,95.13,7.47
23.25,83.25,2021,1,29,8.44,9.88,22.51,62.89,1.83,94.67,6.8
23.25,83.75,2021,1,29,9.06,9.31,20.91,68.31,2.67,93.76,5.85
23.25,84.25,2021,1,29,8.56,9.99,21.84,65.61,2.13,93.98,6.02
23.25,84.75,2021,1,29,8.14,10.23,23.13,62.44,1.65,94.55,6.52
23.25,85.25,2021,1,29,7.93,10.52,24.39,59.03,1.28,95.71,6.78
23.25,85.75,2021,1,29,7.9,10.72,25.21,56.49,1,97.31,6.28
23.25,86.25,2021,1,29,7.87,10.11,25.18,56.84,0.71,98.7,4.51
23.25,86.75,2021,1,29,7.75,9.18,24.85,57.57,0.31,99.73,4.45
23.25,87.25,2021,1,29,7.16,8.62,24.71,55.14,0.15,100.56,4.18
23.25,87.75,2021,1,29,6.48,8.59,25.11,51.74,0.06,101.11,4.08
23.25,88.25,2021,1,29,6.02,8.78,25.87,49.59,0,101.37,4.3
23.75,82.25,2021,1,29,3.33,8.58,23.67,49.29,1.14,95.79,6.65
23.75,82.75,2021,1,29,4.55,9.23,23.53,51.23,1.53,95.97,6.65
